product,product_id,manufacturing_date,expiry_date
Milk,P00001,2022-10-22,2023-08-27
Paneer,P00002,2022-10-22,2024-01-29
Samosa,P00003,2024-11-15,2023-12-26
Chips,P00004,2022-01-24,2022-02-12
P00005,2022-06-07,2022-06-05
P00006,2024-07-26,2024-09-30
P00007,2023-04-11,2023-05-11
P00008,2024-12-12,2022-11-30
P00009,2023-11-16,2022-12-21
P00010,2023-02-03,2022-01-28
P00011,2024-01-14,2023-08-31
P00012,2023-06-24,2024-11-06
P00013,2024-01-30,2022-09-03
P00014,2024-11-08,2023-03-30
P00015,2023-02-28,2022-09-01
P00016,2022-07-26,2024-08-15
P00017,2022-03-30,2022-11-11
P00018,2022-11-27,2022-12-15
P00019,2022-12-24,2022-09-20
P00020,2024-02-03,2024-11-06
P00021,2024-06-11,2023-07-05
P00022,2022-11-23,2024-12-02
P00023,2022-08-11,2022-12-20
P00024,2023-08-03,2024-02-21
P00025,2023-04-01,2023-10-28
P00026,2023-01-18,2023-01-31
P00027,2022-05-28,2023-09-03
P00028,2023-03-19,2023-06-25
P00029,2024-06-17,2023-11-19
P00030,2024-09-13,2024-01-02
P00031,2024-12-08,2023-09-19
P00032,2022-08-31,2022-06-12
P00033,2024-12-26,2024-08-02
P00034,2024-05-10,2024-04-28
P00035,2023-01-01,2022-10-14
P00036,2024-08-17,2023-03-15
P00037,2024-03-29,2022-12-12
P00038,2023-09-01,2024-02-03
P00039,2023-06-25,2022-10-08
P00040,2023-05-21,2024-03-18
P00041,2024-10-04,2024-03-09
P00042,2023-10-16,2022-06-15
P00043,2023-01-27,2024-01-12
P00044,2022-11-27,2023-07-22
P00045,2024-04-24,2022-11-01
P00046,2024-09-23,2023-09-09
P00047,2024-10-24,2024-01-29
P00048,2022-11-08,2024-08-03
P00049,2024-09-17,2024-04-24
P00050,2022-05-31,2022-03-21
P00051,2022-06-29,2024-06-28
P00052,2022-02-02,2024-04-02
P00053,2024-12-22,2023-02-13
P00054,2024-09-16,2024-08-09
P00055,2023-11-06,2024-10-18
P00056,2023-01-23,2023-11-25
P00057,2023-05-14,2024-08-13
P00058,2024-08-19,2022-09-26
P00059,2023-05-22,2024-07-16
P00060,2022-01-23,2024-05-04
P00061,2023-10-18,2024-07-04
P00062,2023-08-10,2022-03-29
P00063,2022-09-25,2022-01-01
P00064,2024-09-17,2023-10-28
P00065,2024-11-19,2022-12-14
P00066,2022-04-24,2022-11-10
P00067,2023-09-09,2022-12-04
P00068,2024-12-01,2022-10-20
P00069,2022-08-18,2024-09-29
P00070,2023-12-09,2024-06-08
P00071,2024-10-09,2024-07-15
P00072,2022-05-23,2024-01-15
P00073,2024-06-01,2023-12-26
P00074,2024-08-01,2024-07-24
P00075,2023-02-05,2022-10-30
P00076,2024-06-28,2023-03-24
P00077,2023-09-26,2023-06-15
P00078,2022-12-02,2024-09-13
P00079,2022-09-11,2022-12-18
P00080,2024-11-16,2023-02-26
P00081,2023-04-23,2022-08-12
P00082,2024-02-10,2023-03-05
P00083,2023-10-19,2023-09-10
P00084,2022-02-03,2024-11-01
P00085,2023-01-01,2023-02-12
P00086,2023-10-06,2024-12-28
P00087,2024-08-04,2022-06-17
P00088,2024-03-09,2023-10-13
P00089,2022-06-04,2024-08-04
P00090,2022-12-11,2022-03-06
P00091,2023-12-02,2023-06-07
P00092,2023-06-15,2024-11-30
P00093,2022-02-04,2022-04-02
P00094,2023-07-20,2024-06-14
P00095,2022-04-29,2022-02-21
P00096,2023-06-27,2024-08-03
P00097,2022-06-19,2024-11-16
P00098,2024-01-25,2023-01-23
P00099,2023-11-21,2022-11-17
P00100,2023-02-08,2022-11-28
